1    ,    1    ,    0.000344
2    ,    5    ,    0.000396
3    ,    15    ,    0.000562
4    ,    17    ,    0.000176
5    ,    41    ,    0.001206
6    ,    79    ,    0.001825
7    ,    135    ,    0.003276
8    ,    211    ,    0.004617
9    ,    412    ,    0.005675
10    ,    688    ,    0.006279
11    ,    998    ,    0.021523
12    ,    1359    ,    0.029697
13    ,    2839    ,    0.039825
14    ,    4440    ,    0.055625
15    ,    8153    ,    0.066403
16    ,    11294    ,    0.083092
16    ,    11294    ,    0.081828
18    ,    19089    ,    0.094466
19    ,    40533    ,    0.242558
20    ,    50426    ,    0.297772
