1   ,     1    ,    0.000138
2   ,     5    ,    0.000345
3   ,     5    ,    0.00057
4   ,     8    ,    0.000123
5   ,     11    ,    0.000151
6   ,     16    ,    0.001094
7   ,     14    ,    0.000217
8   ,     17    ,    0.000244
9   ,     75    ,    0.000712
56   ,     283    ,    0.003198
57   ,     452    ,    0.004612
48   ,     469    ,    0.00477
17   ,     103    ,    0.001194
94   ,     1047    ,    0.012041
31   ,     294    ,    0.003933
76   ,     934    ,    0.021769
76   ,     934    ,    0.013663
18   ,     146    ,    0.00781
71   ,     618    ,    0.020959
60   ,     413    ,    0.032483
